datetime,dep,tx_incidence,tx_positivite,taux_occupation_sae
2021-09-05,15,39.9,1.04,36.1
2021-09-05,69,175.7,2.89,36.1
2021-09-05,05,175.6,3.08,75.4
2021-09-05,38,130.1,2.95,36.1
2021-09-05,19,55.8,1.36,38.6
2021-09-05,08,78.7,2.21,21.3
2021-09-05,62,68.2,1.77,34.0
2021-09-05,11,154.8,2.55,60.5
2021-09-05,68,185.3,2.83,21.3
2021-09-05,53,58.0,1.6,23.8
2021-09-05,34,219.3,3.04,60.5
2021-09-05,13,472.8,4.14,75.4
2021-09-05,76,77.6,1.94,22.9
2021-09-05,51,90.4,2.23,21.3
2021-09-05,85,73.5,1.66,23.8
2021-09-05,80,44.2,1.37,34.0
2021-09-05,37,67.9,1.72,29.4
2021-09-05,46,121.8,2.31,60.5
2021-09-05,18,87.7,2.39,29.4
2021-09-05,40,76.2,1.98,38.6
2021-09-05,43,92.6,2.07,36.1
2021-09-05,31,126.5,2.02,60.5
2021-09-05,16,69.8,1.81,38.6
2021-09-05,92,134.0,2.07,38.0
2021-09-05,10,80.0,1.76,21.3
2021-09-05,974,159.2,3.09,53.8
2021-09-05,06,232.8,2.37,75.4
2021-09-05,61,49.5,1.45,22.9
2021-09-05,64,104.5,1.98,38.6
2021-09-05,29,59.4,1.46,27.2
2021-09-05,48,77.3,1.89,60.5
2021-09-05,45,108.4,2.79,29.4
2021-09-05,79,85.1,2.13,38.6
2021-09-05,972,421.7,9.33,580.8
2021-09-05,2A,119.4,1.31,55.6
2021-09-05,49,79.4,2.1,23.8
2021-09-05,47,100.8,1.93,38.6
2021-09-05,75,128.2,1.51,38.0
2021-09-05,04,220.3,3.23,75.4
2021-09-05,50,45.6,1.39,22.9
2021-09-05,41,78.4,2.16,29.4
2021-09-05,42,116.6,2.35,36.1
2021-09-05,95,163.6,2.27,38.0
2021-09-05,54,83.2,1.79,21.3
2021-09-05,90,142.0,2.77,21.7
2021-09-05,56,81.8,2.05,27.2
2021-09-05,86,64.9,1.66,38.6
2021-09-05,87,48.3,1.38,38.6
2021-09-05,89,76.5,1.83,21.7
2021-09-05,84,266.8,3.5,75.4
2021-09-05,88,76.8,1.62,21.3
2021-09-05,24,90.6,2.09,38.6
2021-09-05,03,46.5,1.32,36.1
2021-09-05,60,96.7,2.08,34.0
2021-09-05,28,100.4,2.66,29.4
2021-09-05,17,60.1,1.34,38.6
2021-09-05,77,138.4,2.29,38.0
2021-09-05,30,239.6,3.64,60.5
2021-09-05,93,189.1,2.39,38.0
2021-09-05,22,109.4,2.72,27.2
2021-09-05,25,104.2,2.23,21.7
2021-09-05,74,155.2,2.83,36.1
2021-09-05,82,144.3,2.47,60.5
2021-09-05,55,79.3,1.97,21.3
2021-09-05,59,120.8,2.55,34.0
2021-09-05,35,108.4,2.39,27.2
2021-09-05,36,72.8,2.12,29.4
2021-09-05,70,70.8,1.85,21.7
2021-09-05,65,136.7,2.51,60.5
2021-09-05,72,63.6,1.65,23.8
2021-09-05,976,52.2,3.2,0.0
2021-09-05,07,124.5,2.39,36.1
2021-09-05,971,525.4,10.38,325.9
2021-09-05,73,131.8,2.92,36.1
2021-09-05,78,139.2,2.61,38.0
